id;date;details;code;status;payment_method;payment_date;payment_amount;order_id
1;2021-02-23T07:16:59;RAM Focused;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-02-23T03:46:07;75071;1
2;2021-02-23T00:17:08;program Unbranded;SDR;ISSUED;CASH_ON_DELIVERY;2021-02-23T09:17:23;17323;2
3;2021-02-23T08:34:30;Incredible Baby;lime program;ISSUED;CASH_ON_DELIVERY;2021-02-23T15:26:57;92121;3
4;2021-02-23T05:02:25;transmitting EXE parse;Gloves Jamaican Dollar;CANCELLED;CREDIT_CARD;2021-02-22T23:02:16;33894;4
5;2021-02-23T17:59:16;Awesome;Integration structure;CANCELLED;PAYPAL;2021-02-23T11:02:53;72584;5
6;2021-02-22T23:11:38;SDD auxiliary Utah;analyzer Chips;PAID;CREDIT_CARD;2021-02-23T16:27:13;90614;6
7;2021-02-23T08:49:02;Colorado;Auto Loan Account Small Rubber Pants;ISSUED;CASH_ON_DELIVERY;2021-02-23T05:44:18;42722;7
8;2021-02-23T08:40:36;Handcrafted Steel Ball CSS;Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-02-23T13:34:04;44406;8
9;2021-02-23T02:30:34;Credit Card Account;Assurance;ISSUED;CASH_ON_DELIVERY;2021-02-23T21:33:01;36970;9
10;2021-02-23T01:44:22;functionalities bifurcated;Generic Cotton Car;ISSUED;PAYPAL;2021-02-23T19:50:25;52363;10
