id;placed_date;status;code
1;2021-02-23T14:38:59;COMPLETED;Georgia calculate withdrawal
2;2021-02-23T01:35:29;COMPLETED;compress Steel out-of-the-box
3;2021-02-23T03:06:41;PENDING;Concrete
4;2021-02-23T16:32:36;CANCELLED;Investment Account
5;2021-02-23T03:49:26;PENDING;United States of America
6;2021-02-23T18:01:30;CANCELLED;IB Industrial Credit Card Account
7;2021-02-23T21:07:55;CANCELLED;Cotton Egyptian Pound
8;2021-02-23T06:03:59;COMPLETED;Home Loan Account
9;2021-02-23T14:58:15;COMPLETED;Human
10;2021-02-23T01:06:53;CANCELLED;payment
