id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-02-23T00:05:09;payment unleash Jamaican Dollar;1
2;Rest;2021-02-23T19:21:39;Plains;2
3;Quality Plastic plum;2021-02-22T23:42:01;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-02-23T20:09:13;Architect SSL;4
5;zero tolerance;2021-02-23T17:05:32;user-facing CSS;5
6;ADP Ouguiya;2021-02-23T13:02:00;Garden;6
7;auxiliary;2021-02-23T21:18:00;functionalities Bedfordshire withdrawal;7
8;Data;2021-02-23T00:16:01;Viaduct hybrid;8
9;mesh;2021-02-23T22:41:40;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-02-23T20:40:34;Re-engineered withdrawal Ball;10
